medcodeid	observations	originalreadcode	readcode	term	snomedctconceptid	snomedctdescriptionid	release	emiscodecategoryid	weight	height	bmi
4553721000006113	200	^ESCTBM455372		BMI 25-29 - overweight	162863004	2164215019		2	9		9
910261000006112	100	HNGNQRF71		[RFC] Underweight	910261000006108	910261000006112		12	9		
1808061000006114	100	EMISNQBO29		Body mass index less than 18.5	1808061000006105	1808061000006114		2			9
3976301000006116	100	^ESCTHE397630		Heavy (weight)	90845004	150547014		31	9		
13926671000006119	100	^ESCT1392667		Obese class III	819948005	3858271015		2			9
923851000006110	100	PCNQOE3		O/E - weight	923851000006106	923851000006110		42	9		
12113181000006115	90	^ESCT1211318		Obese class II	443381000124105	660421000124116		2			9
5256071000006119	90	^ESCTGE525607		General finding of height	248327008	370721016		31		9	
7833991000006118	80	^ESCTOV783399		Overweight in adulthood with body mass index of 25 or more but less than 30	722595002	3332833014		2	9		9
982601000006111	80	EMISCHE7		Height (Over)	982601000006107	982601000006111		27		9	
982611000006114	80	EMISCHE8		Height (Under)	982611000006105	982611000006114		27		9	
5892251000006115	70	^ESCTBO589225		Body weight problem	301336003	442614014		31	9		
12113161000006113	60	^ESCT1211316		Obese class I	443371000124107	660381000124114		2			9
1753291000006113	60	66CN	66CN.00	Risk to health associated with overweight and obesity, at high risk	755921000000105	1663311000000118		1	9		9
3087291000006118	50	^ESCTNO308729		Not gaining weight	36440009	1228651013		32	9		
4551821000006117	50	^ESCTOE455182		O/E - weight greater than 20% below ideal	162764001	253678016		2	9		
2934311000006118	50	^ESCTWE293431		Weight	27113001	598581000000118		2	9		
4935051000006112	50	^ESCTEX493505		Excessive weight gain	224994002	338162014		31	9		
5451381000006110	40	^ESCTWE545138		Weight increased	262286000	390217015		31	9		
13638231000006115	40	^ESCT1363823		Self reported body weight	784399000	3768525013		31	9		
1749511000006118	30	EMISNQPA111		Pattern of weight gain	1749511000006102	1749511000006118		27	9		
8286991000006119	30	^ESCTBA828699		Baseline BMI (body mass index)	846931000000101	2228241000000114		2			9
7965341000006113	30	^ESCTCH796534		Childhood failure to gain weight	351000119100	2916950014		31	9		
5451371000006112	20	^ESCTWE545137		Weight decreased	262285001	390216012		31	9		
4551811000006113	20	^ESCTON455181		On examination - weight	162763007	2667035013		27	9		
3514400010	20	^ESCT1165415		Current body weight	735395000	3514400010		31	9		
6763391000006114	20	^ESCTBO676339		Body mass index 40+ - morbidly obese	408512008	3005953017		2			9
5256141000006114	20	^ESCTWE525614		Weight fluctuates	248332009	370728010		31	9		
4551671000006115	20	^ESCTON455167		On examination - height	162755006	2666494014		27		9	
9423891000006114	10	^ESCTSL942389		Slow weight gain	11717701000119108	3332472016		31	9		
4551701000006119	10	^ESCTOE455170		O/E - height 10-20% below average	162757003	253671010		2		9	
1753271000006112	9	66CL	66CL.00	Risk to health associated with overweight and obesity, at no increased risk	755881000000104	1663231000000115		1	9		9
4551681000006117	8	^ESCTOE455168		O/E - height greater than 20% below average	162756007	253670011		2		9	
6251151000006116	7	^ESCTBO625115		Body weight measure	363808001	486932010		31	9		
4551761000006118	6	^ESCTOE455176		O/E - height greater than 20% over average	162760005	253674019		2		9	
5892201000006119	5	^ESCTOB589220		Observation of body mass index	301331008	1226967010		2			9
7504441000006114	5	^ESCTME750444		Measurement of body mass index	698094009	2987393017		31			9
7068841000006116	4	^ESCTBO706884		Body mass index less than 16.5	427090001	2673915012		2			9
7075901000006114	4	^ESCTRE707590		Recent weight gain	427572007	2676077016		31	9		
3087281000006116	4	^ESCTNO308728		Not putting on weight	36440009	1228650014		32	9		
4935071000006119	3	^ESCTHE493507		Height increased	224997009	338165011		31		9	
5117851000006111	3	^ESCTPA511785		Patient overweight	238131007	356961016		2	9		
3667431000006112	2	^ESCTDE366743		Decrease in height	71781005	501960018		31		9	
5256251000006115	2	^ESCTPA525625		Patient underweight	248342006	370739013		32	9		
3484791000006113	2	^ESCTWE348479		Weight: body mass	60621009	2164080013		2	9		
2729021000006118	1	^ESCTME272902		Measuring height of patient	14456009	24574015		31		9	
5529871000006114	1	^ESCTHE552987		Height static	271817008	406788012		32		9	
8291811000006111	1	^ESCTMA829181		Maximum BMI (body mass index)	852451000000103	2207891000000113		31			9
1808071000006119	1	JHCBO5		Body mass index 18.5-24.9	1808071000006103	1808071000006119		2			9
6763401000006111	1	^ESCTBM676340		BMI (body mass index) 40+ - severely obese	408512008	2227961000000118		2			9
7299071000006115	1	^ESCTCH729907		Childhood obesity BMI 95-100 percentile	444862003	2967440014		32			9
3070611000006119	1	^ESCTNO307061		Normal BMI (body mass index)	35425004	2227901000000117		2			9
5507901000006110	1	^ESCTOE550790		O/E - weight greater than 20% over ideal	268916007	5507901000006110		27	9		
6922511000006116	1	^ESCTHE692251		Height below average	418519005	2576674011		31		9	
